[2021-04-05 12:04:01] No settings files found: D:/Mindustry-Server/config/settings.bin and D:/Mindustry-Server/config/settings_backup.bin
[2021-04-05 16:40:02] Saving 7 values; 994 bytes
[2021-04-05 16:41:02] Saving 7 values; 994 bytes
[2021-04-05 16:42:02] Saving 7 values; 994 bytes
[2021-04-05 16:43:02] Saving 7 values; 994 bytes
[2021-04-05 16:43:27] Saving 7 values; 994 bytes
[2021-04-05 16:43:27] Saving 7 values; 994 bytes
[2021-04-05 16:43:27] Saving 7 values; 994 bytes
[2021-04-05 16:44:02] Saving 7 values; 994 bytes
[2021-04-05 16:45:02] Saving 7 values; 994 bytes
[2021-04-05 16:46:02] Saving 7 values; 994 bytes
[2021-04-05 16:47:02] Saving 7 values; 994 bytes
[2021-04-05 16:48:02] Saving 7 values; 994 bytes
[2021-04-05 16:49:02] Saving 7 values; 994 bytes
[2021-04-05 16:49:22] Saving 7 values; 994 bytes
[2021-04-05 16:49:22] Saving 7 values; 994 bytes
[2021-04-05 16:49:23] Saving 7 values; 994 bytes
[2021-04-05 16:50:02] Saving 7 values; 994 bytes
[2021-04-05 16:51:02] Saving 7 values; 994 bytes
[2021-04-05 16:52:02] Saving 7 values; 994 bytes
[2021-04-05 16:53:02] Saving 7 values; 994 bytes
[2021-04-05 16:54:02] Saving 7 values; 994 bytes
[2021-04-05 16:55:02] Saving 7 values; 994 bytes
[2021-04-05 16:56:02] Saving 7 values; 994 bytes
[2021-04-05 16:57:02] Saving 7 values; 994 bytes
[2021-04-05 16:57:59] Saving 7 values; 994 bytes
[2021-04-05 16:57:59] Saving 7 values; 994 bytes
[2021-04-05 16:57:59] Saving 7 values; 994 bytes
[2021-04-05 16:58:02] Saving 7 values; 994 bytes
[2021-04-05 16:59:02] Saving 7 values; 994 bytes
[2021-04-05 17:00:02] Saving 7 values; 994 bytes
[2021-04-05 17:01:02] Saving 7 values; 994 bytes
[2021-04-05 17:02:02] Saving 7 values; 994 bytes
[2021-04-05 17:03:02] Saving 7 values; 994 bytes
[2021-04-05 17:03:45] Saving 7 values; 994 bytes
[2021-04-05 17:03:45] Saving 7 values; 994 bytes
[2021-04-05 17:03:45] Saving 7 values; 994 bytes
[2021-04-05 17:04:02] Saving 7 values; 994 bytes
[2021-04-05 17:05:02] Saving 7 values; 994 bytes
[2021-04-05 17:06:02] Saving 7 values; 994 bytes
[2021-04-05 17:07:02] Saving 7 values; 994 bytes
[2021-04-05 17:08:02] Saving 7 values; 994 bytes
[2021-04-05 17:09:02] Saving 7 values; 994 bytes
[2021-04-05 17:09:53] Saving 7 values; 994 bytes
[2021-04-05 17:09:53] Saving 7 values; 994 bytes
[2021-04-05 17:09:53] Saving 7 values; 994 bytes
[2021-04-05 17:10:02] Saving 7 values; 994 bytes
[2021-04-05 17:11:02] Saving 7 values; 994 bytes
[2021-04-05 17:12:02] Saving 7 values; 994 bytes
[2021-04-05 17:13:02] Saving 7 values; 994 bytes
[2021-04-05 17:14:02] Saving 7 values; 994 bytes
[2021-04-05 17:15:02] Saving 7 values; 994 bytes
[2021-04-05 17:15:50] Saving 7 values; 994 bytes
[2021-04-05 17:15:50] Saving 7 values; 994 bytes
[2021-04-05 17:15:50] Saving 7 values; 994 bytes
[2021-04-05 17:16:02] Saving 7 values; 994 bytes
[2021-04-05 17:17:02] Saving 7 values; 994 bytes
[2021-04-05 17:18:02] Saving 7 values; 994 bytes
[2021-04-05 17:19:02] Saving 7 values; 994 bytes
[2021-04-05 17:20:02] Saving 7 values; 994 bytes
[2021-04-05 17:21:02] Saving 7 values; 994 bytes
[2021-04-05 17:21:48] Saving 7 values; 994 bytes
[2021-04-05 17:21:48] Saving 7 values; 994 bytes
[2021-04-05 17:21:49] Saving 7 values; 994 bytes
[2021-04-05 17:22:02] Saving 7 values; 994 bytes
[2021-04-05 17:23:02] Saving 7 values; 994 bytes
[2021-04-05 17:24:02] Saving 7 values; 994 bytes
[2021-04-05 17:25:02] Saving 7 values; 994 bytes
[2021-04-05 17:26:02] Saving 7 values; 994 bytes
[2021-04-05 17:27:02] Saving 7 values; 994 bytes
[2021-04-05 17:28:02] Saving 7 values; 994 bytes
[2021-04-05 17:28:34] Saving 7 values; 994 bytes
[2021-04-05 17:28:34] Saving 7 values; 994 bytes
[2021-04-05 17:28:34] Saving 7 values; 994 bytes
[2021-04-05 17:29:02] Saving 7 values; 994 bytes
[2021-04-05 17:30:02] Saving 7 values; 994 bytes
[2021-04-05 17:31:02] Saving 7 values; 994 bytes
[2021-04-05 17:32:02] Saving 7 values; 994 bytes
[2021-04-05 17:33:02] Saving 7 values; 994 bytes
[2021-04-05 17:34:02] Saving 7 values; 994 bytes
[2021-04-05 17:35:02] Saving 7 values; 994 bytes
[2021-04-05 17:35:08] Saving 7 values; 994 bytes
[2021-04-05 17:35:08] Saving 7 values; 994 bytes
[2021-04-05 17:35:09] Saving 7 values; 994 bytes
[2021-04-05 17:36:02] Saving 7 values; 994 bytes
[2021-04-05 17:37:02] Saving 7 values; 994 bytes
[2021-04-05 17:38:02] Saving 7 values; 994 bytes
[2021-04-05 17:39:02] Saving 7 values; 994 bytes
[2021-04-05 17:40:02] Saving 7 values; 994 bytes
[2021-04-05 17:41:02] Saving 7 values; 994 bytes
